Package	Version
abind	1.4-8
akima	0.6-3.4
AnnotationDbi	1.66.0
AnnotationFilter	1.28.0
AnnotationHub	3.12.0
anytime	0.3.9
ape	5.8
aplot	0.2.3
askpass	1.2.0
assertthat	0.2.1
babelgene	22.9
babelwhale	1.2.0
backports	1.5.0
bamsignals	1.36.0
base64enc	0.1-3
batchelor	1.20.0
beachmat	2.20.0
beeswarm	0.4.0
bezier	1.1.2
BH	1.84.0-0
biglm	0.9-3
Biobase	2.64.0
BiocFileCache	2.12.0
BiocGenerics	0.50.0
BiocIO	1.14.0
BiocManager	1.30.25
BiocNeighbors	1.22.0
BiocParallel	1.38.0
BiocSingular	1.20.0
BiocVersion	3.19.1
biomaRt	2.60.1
Biostrings	2.72.1
biovizBase	1.52.0
bit	4.5.0
bit64	4.5.2
bitops	1.0-8
blob	1.2.4
bluster	1.14.0
brew	1.0-10
brio	1.1.5
broom	1.0.7
BSgenome	1.72.0
bslib	0.8.0
cachem	1.1.0
Cairo	1.6-2
callr	3.7.6
car	3.1-2
carData	3.0-5
carrier	0.1.1
caTools	1.18.3
CellChat	1.6.1
cellranger	1.1.0
checkmate	2.3.2
circlize	0.4.16
classInt	0.4-10
cli	3.6.3
clipr	0.8.0
clue	0.3-65
clusterProfiler	4.12.6
coda	0.19-4.1
colorRamps	2.3.4
colorspace	2.1-1
commonmark	1.9.1
ComplexHeatmap	2.20.0
conflicted	1.2.0
corrplot	0.94
cowplot	1.1.3
cpp11	0.5.0
crayon	1.5.3
credentials	2.0.1
crosstalk	1.2.1
curl	5.2.2
data.table	1.16.0
DBI	1.2.3
dbplyr	2.5.0
DelayedArray	0.30.1
DelayedMatrixStats	1.26.0
deldir	2.0-4
DEoptimR	1.1-3
depmap	1.18.0
Deriv	4.1.6
desc	1.4.3
DESeq2	1.44.0
devtools	2.4.5
dichromat	2.0-0.1
diffobj	0.3.5
digest	0.6.37
doBy	4.6.22
doParallel	1.0.17
DOSE	3.30.5
dotCall64	1.1-1
downlit	0.4.4
downloader	0.4
dplyr	1.1.4
dqrng	0.4.1
dsb	1.0.4
DT	0.33
dtplyr	1.3.1
dyndimred	1.0.4
dynfeature	1.0.1
dynguidelines	1.0.1
dynmethods	1.0.5.9000
dyno	0.1.2
dynparam	1.0.2
dynplot	1.1.2
dynutils	1.0.11
dynwrap	1.2.4
e1071	1.7-16
edgeR	4.2.1
ellipsis	0.3.2
enrichplot	1.24.4
EnsDb.Hsapiens.v86	2.99.0
EnsDb.Mmusculus.v79	2.99.0
ensembldb	2.28.1
evaluate	1.0.0
ExperimentHub	2.12.0
expm	1.0-0
fansi	1.0.6
farver	2.1.2
fastDummies	1.7.4
fastmap	1.2.0
fastmatch	1.1-4
fgsea	1.30.0
filelock	1.0.3
fitdistrplus	1.2-1
FNN	1.1.4.1
fontawesome	0.5.2
forcats	1.0.0
foreach	1.5.2
forestplot	3.1.3
formatR	1.14
Formula	1.2-5
fs	1.6.4
furrr	0.3.1
futile.logger	1.4.3
futile.options	1.0.1
future	1.34.0
future.apply	1.11.2
GA	3.2.4
gargle	1.5.2
generics	0.1.3
GenomeInfoDb	1.40.1
GenomeInfoDbData	1.2.12
GenomicAlignments	1.40.0
GenomicFeatures	1.56.0
GenomicRanges	1.56.1
gert	2.1.2
GetoptLong	1.0.5
ggalluvial	0.12.5
ggbeeswarm	0.7.2
ggforce	0.4.2
ggfun	0.1.6
ggnetwork	0.5.13
ggnewscale	0.5.0
ggplot2	3.5.1
ggplotify	0.1.2
ggpubr	0.6.0
ggraph	2.2.1
ggrastr	1.0.2
ggrepel	0.9.5
ggridges	0.5.6
ggsci	3.2.0
ggsignif	0.6.4
ggtree	3.12.0
gh	1.4.1
gitcreds	0.1.2
glasso	1.11
glmGamPoi	1.16.0
GlobalOptions	0.1.2
globals	0.16.3
glue	1.7.0
Gmisc	3.0.3
GO.db	3.19.1
goftest	1.2-3
googledrive	2.1.1
googlesheets4	1.1.1
GOSemSim	2.30.2
gplots	3.1.3.1
graph	1.82.0
graphlayouts	1.2.0
gridBase	0.4-7
gridExtra	2.3
gridGraphics	0.5-1
grr	0.9.5
gson	0.1.0
gtable	0.3.5
gtools	3.9.5
haven	2.5.4
HDF5Array	1.32.1
hdf5r	1.3.11
HDO.db	0.99.1
here	1.0.1
highr	0.11
Hmisc	5.1-3
hms	1.1.3
htmlTable	2.4.3
htmltools	0.5.8.1
htmlwidgets	1.6.4
httpuv	1.6.15
httr	1.4.7
httr2	1.0.5
ica	1.0-3
ids	1.0.1
igraph	2.0.3
